	gene_symbol	definition
441	secE	Protein translocase subunit SecE (Protein transport protein Sec61 gamma subunit homolog)
442	secF	Protein translocase subunit SecF
443	secG	Protein-export membrane protein SecG
444	secM	Secretion monitor
445	secY	Protein translocase subunit SecY
446	secY2	Accessory Sec system protein translocase subunit SecY2
447	sefB	Chaperone protein SefB
452	sicA	Chaperone protein SicA (Salmonella invasin chaperone)
453	sicP	Chaperone protein sicP
467	slyD	FKBP-type peptidyl-prolyl cis-trans isomerase SlyD (PPIase) (EC 5.2.1.8) (Metallochaperone SlyD)
470	sohB	Probable protease SohB (EC 3.4.21.-) (Fragment)
471	sopA	E3 ubiquitin-protein ligase SopA (EC 2.3.2.26) (HECT-type E3 ubiquitin transferase SopA) (Salmonella outer protein A) (Secreted effector protein SopA)
472	spoIIGA	Sporulation sigma-E factor-processing peptidase (EC 3.4.23.-) (Membrane-associated aspartic protease) (Stage II sporulation protein GA)
474	spy	Periplasmic chaperone Spy (Spheroplast protein Y)
476	srkA	Stress response kinase A (EC 2.7.11.1) (Serine/threonine-protein kinase SrkA)
482	surA	Chaperone SurA (Peptidyl-prolyl cis-trans isomerase SurA) (PPIase SurA) (EC 5.2.1.8) (Rotamase SurA)
484	sycN	Chaperone protein SycN
485	sycT	Chaperone protein SycT
492	ths	Thermosome subunit (Chaperonin subunit)
493	thsA	Thermosome subunit alpha (Chaperonin subunit alpha) (Thermosome subunit 1)
494	thsB	Thermosome subunit beta (Chaperonin subunit beta) (Thermosome subunit 2)
495	thsC	Thermosome subunit gamma (Chaperonin subunit gamma) (Thermosome subunit 3)
503	torD	Chaperone protein TorD
507	ubact	Prokaryotic ubiquitin-like protein UBact
510	viaA	Protein ViaA (VWA domain protein interacting with AAA ATPase)
512	whiB3	Redox- and pH-responsive transcriptional regulator WhiB3
514	yacD	Putative peptidyl-prolyl cis-trans isomerase YacD (PPIase YacD) (EC 5.2.1.8) (Rotamase YacD)
520	ycbZ	Putative Lon protease homolog (EC 3.4.21.-) (ATP-dependent protease La homolog)
522	ycdY	Chaperone protein YcdY
523	yciK	Uncharacterized oxidoreductase YciK (EC 1.-.-.-)
525	yegD	Uncharacterized chaperone protein YegD
536	yrvN	Uncharacterized AAA domain-containing protein YrvN
537	yscB	Chaperone protein YscB (Yop proteins translocation protein B)
538	yscY	Chaperone protein YscY (Yop proteins translocation protein Y)
540	yvyD	Ribosome hibernation promotion factor (HPF) (Hst23) (Putative sigma-54 modulation protein) (SigL modulation protein)
542	zmp1	Pro-Pro endopeptidase (PPEP-1) (EC 3.4.24.89) (Zinc metalloprotease Zmp1)
