	species_name	species_abbreviation	taxonomy	phylum	class
180	Solimonas terrae		bacteria	Proteobacteria	Gammaproteobacteria
181	Mycobacterium parmense		bacteria	Actinobacteria	Actinomycetia
182	Microbacterium foliorum		bacteria	Actinobacteria	Actinobacteria
183	Roseimaritima ulvae		bacteria	Planctomycetes	Planctomycetia
184	Corynebacterium endometrii		bacteria	Actinobacteria	Actinomycetia
185	Crateriforma conspicua		bacteria	Planctomycetes	Planctomycetia
186	Paludisphaera borealis		bacteria	Planctomycetes	Planctomycetia
187	Amycolatopsis bartoniae		bacteria	Actinobacteria	Actinomycetia
188	Clostridium vincentii		bacteria	Firmicutes	Clostridia
189	Pelotomaculum propionicicum		bacteria	Firmicutes	Clostridia
190	Listeria fleischmannii subsp fleischmannii		bacteria	Firmicutes	Bacilli
191	Helicobacter pylori ATCC 700392 		bacteria	Proteobacteria	Epsilonproteobacteria
192	Bacillus taeanensis		bacteria	Firmicutes	Bacilli
193	Microbacterium lemovicicum		bacteria	Actinobacteria	Actinomycetia
194	Mycobacterium saskatchewanense		bacteria	Actinobacteria	Actinomycetia
195	Corynebacterium kalinowskii		bacteria	Actinobacteria	Actinomycetia
196	Brevibacillus laterosporus LMG 15441		bacteria	Firmicutes	Bacilli
197	Sporomusaceae bacterium		bacteria	Firmicutes	Negativicutes
198	Dermatophilus congolensis		bacteria	Actinobacteria	Actinomycetia
199	Cesiribacter andamanensis AMV16		bacteria	Bacteroidetes	Cytophagia
200	Clostridium homopropionicum DSM 5847		bacteria	Firmicutes	Clostridia
201	Lacunisphaera limnophila		bacteria	Verrucomicrobia	Opitutae
202	Moorella humiferrea		bacteria	Firmicutes	Clostridia
203	Lactococcus lactis subsp lactis IL1403 		bacteria	Firmicutes	Bacilli
204	Blautia obeum		bacteria	Firmicutes	Clostridia
205	Acrocarpospora corrugata		bacteria	Actinobacteria	Actinomycetia
206	Nocardia wallacei		bacteria	Actinobacteria	Actinomycetia
207	Rubripirellula obstinata		bacteria	Planctomycetes	Planctomycetia
208	Cecembia lonarensis LW9		bacteria	Bacteroidetes	Cytophagia
209	Pirellula sp SH-Sr6A		bacteria	Planctomycetes	Planctomycetia
210	Microbacterium laevaniformans		bacteria	Actinobacteria	Actinomycetia
211	Salinivirga cyanobacteriivorans		bacteria	Bacteroidetes	Bacteroidia
212	Halomicronema hongdechloris C2206		bacteria	Cyanobacteria	Cyanophyceae
213	Corynebacterium glaucum		bacteria	Actinobacteria	Actinomycetia
214	Phenylobacterium zucineum HLK1		bacteria	Proteobacteria	Alphaproteobacteria
215	Planktothrix tepida PCC 9214		bacteria	Cyanobacteria	Cyanophyceae
216	Blastochloris tepida		bacteria	Proteobacteria	Alphaproteobacteria
217	Candidatus Nitrospira inopinata		bacteria	Nitrospirae	Nitrospira
218	Arthrobacter glacialis		bacteria	Actinobacteria	Actinomycetia
219	Rathayibacter tanaceti		bacteria	Actinobacteria	Actinomycetia
220	Actinomyces howellii		bacteria	Actinobacteria	Actinomycetia
221	Mucilaginibacter gotjawali		bacteria	Bacteroidetes	Sphingobacteriia
222	Prosthecochloris sp CIB 2401		bacteria	Chlorobi	Chlorobia
223	Synechococcus sp MIT S9508		bacteria	Cyanobacteria	Cyanophyceae
224	Chryseobacterium sp MOF25P		bacteria	Chlorobi	Chlorobia
225	Nitrospira lenta		bacteria	Nitrospirae	Nitrospira
226	Anaerotignum neopropionicum		bacteria	Firmicutes	Clostridia
227	Chlorogloeopsis fritschii PCC 6912		bacteria	Cyanobacteria	Cyanophyceae
228	Ignavibacterium album DSM 19864 		bacteria	Ignavibacteriae	Ignavibacteria
229	Synechococcus sp RCC307		bacteria	Cyanobacteria	Cyanophyceae
230	Blastococcus sp TF02A-30		bacteria	Actinobacteria	Actinomycetia
231	Clostridiales bacterium CHKCI001		bacteria	Firmicutes	Clostridia
232	Flavobacterium sp TAB 87		bacteria	Bacteroidetes	Flavobacteriia
233	Acidipila dinghuensis		bacteria	Acidobacteria	Acidobacteriia
234	Petrimonas mucosa		bacteria	Bacteroidetes	Bacteroidia
235	Edaphobacter sp 12200R-103		bacteria	Acidobacteria	Terriglobia
236	Deinococcus deserti DSM 17065 		bacteria	Deinococcus-Thermus	Deinococci
237	Clostridium bornimense		bacteria	Firmicutes	Clostridia
238	Clostridium septicum		bacteria	Firmicutes	Clostridia
239	Blastococcus sp CT_GayMR16		bacteria	Actinobacteria	Actinomycetia
240	Nocardioides sp S-1144		bacteria	Actinobacteria	Actinomycetia
241	Leptospira biflexa serovar Patoc Patoc 1 		bacteria	Spirochaetes	Spirochaetia
242	Cryobacterium sp Hh4		bacteria	Actinobacteria	Actinomycetia
243	Dictyobacter aurantiacus		bacteria	Chloroflexi	Ktedonobacteria
244	Deinococcus koreensis		bacteria	Deinococcus-Thermus	Deinococci
245	Granulicella sp WH15		bacteria	Acidobacteria	Terriglobia
246	Nocardioides sp zg-579		bacteria	Actinobacteria	Actinomycetia
247	Balneolaceae bacterium YR4-1		bacteria	Balneolaeota	Balneolia
248	Marmoricola solisilvae		bacteria	Actinobacteria	Actinomycetia
249	Oceaniferula marina		bacteria	Verrucomicrobia	Verrucomicrobiae
250	Sedimentisphaera salicampi		bacteria	Planctomycetes	Phycisphaerae
251	Litorilinea aerophila		bacteria	Chloroflexi	Caldilineae
252	Ktedonobacteria bacterium brp13		bacteria	Chloroflexi	Ktedonobacteria
253	Flavobacterium succinicans		bacteria	Bacteroidetes	Flavobacteriia
254	Acidipila sp EB88		bacteria	Acidobacteria	Terriglobia
255	Aliifodinibius sp WN023		bacteria	Balneolaeota	Balneolia
256	Rubrobacter taiwanensis		bacteria	Actinobacteria	Rubrobacteria
257	Defluviitoga tunisiensis		bacteria	Thermotogae	Thermotogae
258	Tengunoibacter tsumagoiensis		bacteria	Chloroflexi	Ktedonobacteria
259	Flavobacteriaceae bacterium UJ101		bacteria	Bacteroidetes	Flavobacteriia
260	Opitutus sp ER46		bacteria	Verrucomicrobia	Opitutae
261	Fusobacterium nucleatum subsp nucleatum ATCC 25586 		bacteria	Fusobacteria	Fusobacteriia
262	Prochlorococcus marinus MIT 9211		bacteria	Cyanobacteria	Cyanophyceae
263	Waddlia chondrophila ATCC VR-1470 		bacteria	Chlamydiae	Chlamydiia
264	Bacteroidales bacterium CF		bacteria	Bacteroidetes	Bacteroidia
265	Synechococcus sp CB0101		bacteria	Cyanobacteria	Cyanophyceae
266	Nostoc sp NIES-4103		bacteria	Cyanobacteria	Cyanophyceae
267	Rhodohalobacter barkolensis		bacteria	Balneolaeota	Balneolia
268	Oceanipulchritudo coccoides		bacteria	Verrucomicrobia	Opitutae
269	Dictyobacter vulcani		bacteria	Chloroflexi	Ktedonobacteria
270	Nibricoccus aquaticus		bacteria	Verrucomicrobia	Opitutae
271	Nostoc linckia NIES-25		bacteria	Cyanobacteria	Cyanophyceae
272	Robertkochia marina		bacteria	Bacteroidetes	Flavobacteriia
273	Oscillatoria nigro-viridis PCC 7112		bacteria	Cyanobacteria	Cyanophyceae
274	Phycisphaera sp		bacteria	Planctomycetes	Phycisphaerae
275	Proteiniphilum saccharofermentans		bacteria	Bacteroidetes	Bacteroidia
276	Parolsenella catena		bacteria	Actinobacteria	Coriobacteriia
277	Megasphaera micronuciformis F0359		bacteria	Firmicutes	Negativicutes
278	Prevotella baroniae F0067		bacteria	Bacteroidetes	Bacteroidia
279	Calothrix sp PCC 7507		bacteria	Cyanobacteria	Cyanophyceae
280	Fibrobacter succinogenes ATCC 19169 		bacteria	Fibrobacteres	Fibrobacteria
281	Halobacteriovorax sp DA5		bacteria	Bacteriovoracia	Bacteriovoracales
282	Rivularia sp PCC 7116		bacteria	Cyanobacteria	Cyanophyceae
283	Truepera radiovictrix DSM 17093 		bacteria	Deinococcus-Thermus	Deinococci
284	Melioribacter roseus JCM 17771 		bacteria	Ignavibacteriae	Ignavibacteria
285	Parvibacter caecicola		bacteria	Actinobacteria	Coriobacteriia
286	Coraliomargarita sinensis		bacteria	Verrucomicrobia	Opitutae
287	Planctomycetes bacterium		bacteria	Planctomycetes	Planctomycetes
288	Desulfococcus multivorans DSM 2059		bacteria	Proteobacteria	Deltaproteobacteria
289	Nitrospirae bacterium		bacteria	Nitrospirae	Nitrospirae
290	Oceanithermus profundus DSM 14977 		bacteria	Deinococcus-Thermus	Deinococci
291	Deinococcus ficus		bacteria	Deinococcus-Thermus	Deinococci
292	Granulicella rosea		bacteria	Acidobacteria	Acidobacteriia
293	Mucilaginibacter lappiensis		bacteria	Bacteroidetes	Sphingobacteriia
294	Terriglobus saanensis ATCC BAA-1853 		bacteria	Acidobacteria	Acidobacteriia
295	Leptospirillum ferriphilum ML-04		bacteria	Nitrospirae	Nitrospira
296	Prosthecochloris aestuarii DSM 271 		bacteria	Chlorobi	Chlorobia
297	Terriglobus roseus DSM 18391 		bacteria	Acidobacteria	Acidobacteriia
298	Gemmatimonas phototrophica		bacteria	Gemmatimonadetes	Gemmatimonadetes
299	Neochlamydia sp TUME1		bacteria	Chlamydiae	Chlamydiia
300	Dehalogenimonas formicexedens		bacteria	Chloroflexi	Dehalococcoidia
301	Paramuribaculum intestinale		bacteria	Bacteroidetes	Bacteroidia
302	Prevotella sp OH937_COT-195		bacteria	Bacteroidetes	Bacteroidia
303	Acholeplasma laidlawii PG-8A		bacteria	Tenericutes	Mollicutes
304	Pedobacter sp Hv1		bacteria	Bacteroidetes	Sphingobacteriia
305	Chitinophaga niabensis		bacteria	Bacteroidetes	Chitinophagia
306	Mucilaginibacter sp PPCGB 2223		bacteria	Bacteroidetes	Sphingobacteriia
307	Thermanaerovibrio acidaminovorans ATCC 49978 		bacteria	Synergistetes	Synergistia
308	Pseudothermotoga thermarum DSM 5069		bacteria	Thermotogae	Thermotogae
309	Acetomicrobium mobile ATCC BAA-54 		bacteria	Synergistetes	Synergistia
310	Spirosoma radiotolerans		bacteria	Bacteroidetes	Cytophagia
311	Chlorobium ferrooxidans DSM 13031		bacteria	Chlorobi	Chlorobia
312	Leptonema illini DSM 21528		bacteria	Spirochaetes	Spirochaetia
313	Thermovirga lienii ATCC BAA-1197 		bacteria	Synergistetes	Synergistia
314	Marivirga tractuosa ATCC 23168 		bacteria	Bacteroidetes	Cytophagia
315	Algoriphagus machipongonensis		bacteria	Bacteroidetes	Cytophagia
316	Spirochaeta lutea		bacteria	Spirochaetes	Spirochaetia
317	Leucobacter massiliensis		bacteria	Actinobacteria	Actinomycetia
318	Acholeplasma hippikon		bacteria	Tenericutes	Mollicutes
319	Turneriella parva ATCC BAA-1111 		bacteria	Spirochaetes	Spirochaetia
320	Bacteroides faecichinchillae		bacteria	Bacteroidetes	Bacteroidia
321	Leptotrichia buccalis ATCC 14201 		bacteria	Fusobacteria	Fusobacteriia
322	Alkalispirochaeta americana		bacteria	Spirochaetes	Spirochaetia
323	Thermocrinis albus DSM 14484 		bacteria	Aquificae	Aquificae
324	Psychroflexus halocasei		bacteria	Bacteroidetes	Flavobacteriia
325	Marinitoga piezophila DSM 14283 		bacteria	Thermotogae	Thermotogae
326	Pelolinea submarina		bacteria	Chloroflexi	Anaerolineae
327	Fusobacterium naviforme		bacteria	Fusobacteria	Fusobacteriia
328	Fibrobacter sp UWEL		bacteria	Fibrobacteres	Fibrobacteria
329	Spiroplasma eriocheiris		bacteria	Tenericutes	Mollicutes
330	Treponema berlinense		bacteria	Spirochaetes	Spirochaetia
331	Fibrobacter sp UWB8		bacteria	Fibrobacteres	Fibrobacteria
332	Dubosiella newyorkensis		bacteria	Firmicutes	Erysipelotrichia
333	Spiroplasma helicoides		bacteria	Tenericutes	Mollicutes
334	Spiroplasma litorale		bacteria	Tenericutes	Mollicutes
335	Spiroplasma clarkii		bacteria	Tenericutes	Mollicutes
336	Treponema pallidum Nichols		bacteria	Spirochaetes	Spirochaetia
337	Dehalogenimonas lykanthroporepellens ATCC BAA-1523 		bacteria	Chloroflexi	Dehalococcoidia
338	Mycoplasma gallisepticum R		bacteria	Tenericutes	Mollicutes
339	Mycoplasma pneumoniae ATCC 29342 		bacteria	Tenericutes	Mollicutes
340	Entomoplasma freundtii		bacteria	Tenericutes	Mollicutes
341	Mycoplasma mobile ATCC 43663 		bacteria	Tenericutes	Mollicutes
342	Candidatus Gracilibacteria bacterium		bacteria	Candidatus Gracilibacteria	Candidatus Gracilibacteria
343	Halobacterium salinarum ATCC 700922 		archaea	Euryarchaeota	Halobacteria
344	Halobacterium hubeiense		archaea	Euryarchaeota	Halobacteria
345	Halalkaliarchaeum desulfuricum		archaea	Euryarchaeota	Halobacteria
346	Natrialba magadii ATCC 43099 		archaea	Euryarchaeota	Halobacteria
347	Methanobacterium congolense		archaea	Euryarchaeota	Methanobacteria
348	Methanocella arvoryzae DSM 22066 		archaea	Euryarchaeota	Methanomicrobia
349	Halanaeroarchaeum sulfurireducens		archaea	Euryarchaeota	Halobacteria
