	"species"	"abbreviation"
8117	"Dioscorea japonica"	"djaponica"
8118	"Diospyros kaki"	"dkaki"
8119	"Dioclea lasiophylla"	"dlasiophylla"
8120	"Dioclea lehmannii"	"dlehmannii"
8121	"Dioon mejiae"	"dmejiae"
8122	"Dione moneta"	"dmoneta"
8123	"Dionaea muscipula"	"dmuscipula"
8124	"Diopatra neapolitana"	"dneapolitana"
8125	"Dioryctria pseudotsugella"	"dpseudotsugella"
8126	"Dioon purpusii"	"dpurpusii"
8127	"Dioryctria reniculelloides"	"dreniculelloides"
8128	"Dioclea reflexa"	"dreflexa"
8129	"Dioclea rostrata"	"drostrata"
8130	"Dioscorea rotundata"	"drotundata"
8131	"Dioclea sclerocarpa"	"dsclerocarpa"
8132	"Dioon spinulosum"	"dspinulosum"
8133	"Diospyros texana"	"dtexana"
8134	"Dioon tomasellii"	"dtomasellii"
8135	"Dioclea virgata"	"dvirgata"
8136	"Dioclea violacea"	"dviolacea"
8137	"Diospyros virginiana"	"dvirginiana"
8138	"Diospyros whyteana"	"dwhyteana"
8139	"Dioclea wilsonii"	"dwilsonii"
8140	"Dipodomys agilis"	"dagilis"
8141	"Diplophyllum albicans"	"dalbicans"
8142	"Diporiphora amphiboluroides"	"damphiboluroides"
8143	"Diplodus annularis"	"dannularis"
8144	"Diphasiastrum alpinum"	"dalpinum"
8145	"Diplacus aurantiacus"	"daurantiacus"
8146	"Diplogonoporus balaenopterae"	"dbalaenopterae"
8147	"Diploprion bifasciatum"	"dbifasciatum"
8148	"Diporiphora bilineata"	"dbilineata"
8149	"Dipodomys californicus"	"dcalifornicus"
8150	"Diploria clivosa"	"dclivosa"
8151	"Diphasiastrum complanatum"	"dcomplanatum"
8152	"Dipylidium caninum"	"dcaninum"
8153	"Dipodomys compactus"	"dcompactus"
8154	"Dipodillus campestris"	"dcampestris"
8155	"Diplotaxis catholica"	"dcatholica"
8156	"Diphyllobothrium dendriticum"	"ddendriticum"
8157	"Diphasiastrum digitatum"	"ddigitatum"
8158	"Diplazium dilatatum"	"ddilatatum"
8159	"Diplodontias dilatatus"	"ddilatatus"
8160	"Dipsosaurus dorsalis"	"ddorsalis"
8161	"Dipodomys deserti"	"ddeserti"
8162	"Diphylla ecaudata"	"decaudata"
8163	"Dipodomys elephantinus"	"delephantinus"
8164	"Diplotaxis erucoides"	"derucoides"
8165	"Diphyscium foliosum"	"dfoliosum"
8166	"Diplogonoporus grandis"	"dgrandis"
8167	"Diplocirrus glaucus"	"dglaucus"
8168	"Dipodomys gravipes"	"dgravipes"
8169	"Diplopterygium glaucum"	"dglaucum"
8170	"Dipodomys heermanni"	"dheermanni"
8171	"Diporeia hoyi"	"dhoyi"
8172	"Dipodomys ingens"	"dingens"
8173	"Dipodomys insularis"	"dinsularis"
8174	"Diplacus kelloggii"	"dkelloggii"
8175	"Dipturus kwangtungensis"	"dkwangtungensis"
8176	"Diploria labyrinthiformis"	"dlabyrinthiformis"
8177	"Diplothrix legata"	"dlegata"
8178	"Diplazon laetatorius"	"dlaetatorius"
8179	"Dipetalogaster maximus"	"dmaximus"
8180	"Dipodomys merriami"	"dmerriami"
8181	"Dipodomys microps"	"dmicrops"
8182	"Dipodomys margaritae"	"dmargaritae"
8183	"Diplotaxis muralis"	"dmuralis"
8184	"Dipodomys nelsoni"	"dnelsoni"
8185	"Diphyllobothrium nihonkaiense"	"dnihonkaiense"
8186	"Dipodomys nitratoides"	"dnitratoides"
8187	"Diplobatis ommata"	"dommata"
8188	"Dipodomys ordii"	"dordii"
8189	"Dipturus oxyrinchus"	"doxyrinchus"
8190	"Dipodomys panamintinus"	"dpanamintinus"
8191	"Diplodus puntazzo"	"dpuntazzo"
8192	"Diploptera punctata"	"dpunctata"
8193	"Dipus sagitta"	"dsagitta"
8194	"Diphasium scariosum"	"dscariosum"
8195	"Diplodus sargus"	"dsargus"
8196	"Diplotaxis siifolia"	"dsiifolia"
8197	"Dipodomys simulans"	"dsimulans"
8198	"Dipodomys spectabilis"	"dspectabilis"
8199	"Dipodomys stephensi"	"dstephensi"
8200	"Diplophos taenia"	"dtaenia"
8201	"Dipodomys venustus"	"dvenustus"
8202	"Diplodus vulgaris"	"dvulgaris"
8203	"Dipelta yunnanensis"	"dyunnanensis"
8204	"Diplometopon zarudnyi"	"dzarudnyi"
8205	"Diretmus argenteus"	"dargenteus"
8206	"Dirofilaria immitis"	"dimmitis"
8207	"Diretmoides veriginae"	"dveriginae"
8208	"Dissosteira carolina"	"dcarolina"
8209	"Distichium capillaceum"	"dcapillaceum"
8210	"Disa cardinalis"	"dcardinalis"
8211	"Dissostichus eleginoides"	"deleginoides"
8212	"Disa glandulosa"	"dglandulosa"
8213	"Discosura longicaudus"	"dlongicaudus"
8214	"Dissostichus mawsoni"	"dmawsoni"
8215	"Disa obtusa"	"dobtusa"
8216	"Distoechurus pennatus"	"dpennatus"
8217	"Dissotis rotundifolia"	"drotundifolia"
8218	"Disa rosea"	"drosea"
8219	"Discorsopagurus schmitti"	"dschmitti"
8220	"Disporum sessile"	"dsessile"
8221	"Discosoma sp."	"dsp."
8222	"Discosoma striata"	"dstriata"
8223	"Disa tenella"	"dtenella"
8224	"Disa tripetaloides"	"dtripetaloides"
8225	"Dispholidus typus"	"dtypus"
8226	"Disa uniflora"	"duniflora"
8227	"Ditaxis biseriata"	"dbiseriata"
8228	"Diuca diuca"	"ddiuca"
8229	"Diuraphis noxia"	"dnoxia"
8230	"Diutina rugosa"	"drugosa"
8231	"Drosophila melanogaster sigma virus"	"dmelanogaster"
8232	"Dobsonia inermis"	"dinermis"
8233	"Dobsonia minor"	"dminor"
8234	"Dobsonia moluccensis"	"dmoluccensis"
8235	"Dobsonia pannietensis"	"dpannietensis"
8236	"Dobsonia praedatrix"	"dpraedatrix"
8237	"Dobsonia viridis"	"dviridis"
8238	"Dodonaea viscosa"	"dviscosa"
8239	"Doederleinia berycoides"	"dberycoides"
8240	"Doedicurus sp."	"dsp."
8241	"Dofleinia armata"	"darmata"
8242	"Dokdonia sp."	"dsp."
8243	"Dolichovespula arenaria"	"darenaria"
8244	"Dolabella auricularia"	"dauricularia"
8245	"Dolycoris baccarum"	"dbaccarum"
8246	"Dolichophis caspius"	"dcaspius"
8247	"Dolabrifera dolabrifera"	"ddolabrifera"
8248	"Delosperma echinatum"	"dechinatum"
8249	"Dolichospermum flosaquae"	"dflosaquae"
8250	"Dolicheulota formosensis"	"dformosensis"
8251	"Dolichovespula maculata"	"dmaculata"
8252	"Doliolum nationalis"	"dnationalis"
8253	"Dolichonyx oryzivorus"	"doryzivorus"
8254	"Dolichotis patagonum"	"dpatagonum"
8255	"Dolomedes tenebrosus"	"dtenebrosus"
8256	"Dolichandra unguis-cati"	"dunguis-cati"
8257	"Donax cuneatus"	"dcuneatus"
8258	"Donax faba"	"dfaba"
8259	"Dondice occidentalis"	"doccidentalis"
8260	"Doriprismatica atromarginata"	"datromarginata"
8261	"Doronicum columnae"	"dcolumnae"
8262	"Dorvillea erucaeformis"	"derucaeformis"
8263	"Doryrhamphus excisus"	"dexcisus"
8264	"Doryrhamphus japonicus"	"djaponicus"
8265	"Doryfera ludovicae"	"dludovicae"
8266	"Dorcopsis muelleri"	"dmuelleri"
8267	"Doryteuthis opalescens"	"dopalescens"
8268	"Dorcus parallelipipedus"	"dparallelipipedus"
8269	"Doryteuthis pealeii"	"dpealeii"
8270	"Doryteuthis pleii"	"dpleii"
8271	"Doris pseudoargus"	"dpseudoargus"
8272	"Doritaenopsis sp."	"dsp."
8273	"Doratura stylata"	"dstylata"
8274	"Dorcopsulus vanheurni"	"dvanheurni"
8275	"Dosidicus gigas"	"dgigas"
8276	"Doto coronata"	"dcoronata"
8277	"Dothistroma septosporum"	"dseptosporum"
8278	"Dothistroma septosporum"	"dseptosporum"
8279	"Diadromus pulchellus idnoreovirus 1"	"dpulchellus"
8280	"Deerpox virus"	"dvirus"
8281	"Deerpox virus"	"dvirus"
8282	"Draba altaica"	"daltaica"
8283	"Dracula chimaera"	"dchimaera"
8284	"Draba fladnizensis"	"dfladnizensis"
8285	"Drakaea glyptodon"	"dglyptodon"
8286	"Dracocephalum grandiflorum"	"dgrandiflorum"
8287	"Dracunculus insignis"	"dinsignis"
8288	"Draba lactea"	"dlactea"
8289	"Draba lonchocarpa"	"dlonchocarpa"
8290	"Dracunculus medinensis"	"dmedinensis"
8291	"Dracocephalum moldavica"	"dmoldavica"
8292	"Draba nemorosa"	"dnemorosa"
8293	"Drassodes neglectus"	"dneglectus"
8294	"Draba nivalis"	"dnivalis"
8295	"Draba palanderiana"	"dpalanderiana"
8296	"Draparnaldia plumosa"	"dplumosa"
8297	"Draba porsildii"	"dporsildii"
8298	"Dracocephalum ruyschiana"	"druyschiana"
8299	"Draba sibirica"	"dsibirica"
8300	"Draba subcapitata"	"dsubcapitata"
8301	"Draba turczaninowii"	"dturczaninowii"
8302	"Drepanornis albertisi"	"dalbertisi"
8303	"Drepanis coccinea"	"dcoccinea"
8304	"Dreyfusia nordmannianae"	"dnordmannianae"
8305	"Dremomys pernyi"	"dpernyi"
8306	"Dreyfusia piceae"	"dpiceae"
8307	"Dreissena polymorpha"	"dpolymorpha"
8308	"Drimia elata"	"delata"
8309	"Drimys granadensis"	"dgranadensis"
8310	"Drimia maritima"	"dmaritima"
8311	"Drimys winteri"	"dwinteri"
8312	"Drosophila adunca"	"dadunca"
8313	"Drosophila albomicans"	"dalbomicans"
8314	"Drosophila acanthoptera"	"dacanthoptera"
8315	"Drosophila adiastola"	"dadiastola"
8316	"Drosophila americana"	"damericana"
8317	"Drosophila affinidisjuncta"	"daffinidisjuncta"
8318	"Drosophila affinis"	"daffinis"
8319	"Drosophila algonquin"	"dalgonquin"
8320	"Drosophila ambigua"	"dambigua"
8321	"Drosophila ananassae"	"dananassae"
8322	"Drosophila atripex"	"datripex"
8323	"Drosophila arizonae"	"darizonae"
8324	"Drosophila austrosaltans"	"daustrosaltans"
8325	"Drosophila athabasca"	"dathabasca"
8326	"Drosophila auraria"	"dauraria"
8327	"Drosophila aracataca"	"daracataca"
8328	"Drosophila azteca"	"dazteca"
8329	"Drosophila bakoue"	"dbakoue"
8330	"Drosophila bocqueti"	"dbocqueti"
8331	"Dromicodryas bernieri"	"dbernieri"
8332	"Drosophila bifasciata"	"dbifasciata"
8333	"Drosera binata"	"dbinata"
8334	"Drosophila biarmipes"	"dbiarmipes"
8335	"Drosophila borealis"	"dborealis"
8336	"Drosophila bipectinata"	"dbipectinata"
8337	"Drosera burmannii"	"dburmannii"
8338	"Drosophila busckii"	"dbusckii"
8339	"Drosophila buzzatii"	"dbuzzatii"
8340	"Drosera capensis"	"dcapensis"
8341	"Drosophila capricorni"	"dcapricorni"
8342	"Drosophila cyrtoloma"	"dcyrtoloma"
8343	"Drosophila dasycnemia"	"ddasycnemia"
8344	"Drosera dichrosepala"	"ddichrosepala"
8345	"Drosophila differens"	"ddifferens"
8346	"Drosophila dossoui"	"ddossoui"
8347	"Drosophila disjuncta"	"ddisjuncta"
8348	"Drosophila ercepeae"	"dercepeae"
8349	"Drosophila elegans"	"delegans"
8350	"Drosophila emarginata"	"demarginata"
8351	"Drosophila equinoxialis"	"dequinoxialis"
8352	"Drosophila erecta"	"derecta"
8353	"Drosophila eugracilis"	"deugracilis"
8354	"Drosophila ezoana"	"dezoana"
8355	"Drosophila ficusphila"	"dficusphila"
8356	"Drosera filiformis"	"dfiliformis"
8357	"Drosophila flavomontana"	"dflavomontana"
8358	"Drosophila fima"	"dfima"
8359	"Drosophila funebris"	"dfunebris"
8360	"Dromiciops gliroides"	"dgliroides"
8361	"Drosophila grimshawi"	"dgrimshawi"
8362	"Drosophila guanche"	"dguanche"
8363	"Drosophila hawaiiensis"	"dhawaiiensis"
8364	"Drosophila heteroneura"	"dheteroneura"
8365	"Drosophila hydei"	"dhydei"
8366	"Drosophila iki"	"diki"
8367	"Drosophila immigrans"	"dimmigrans"
8368	"Drosophila insularis"	"dinsularis"
8369	"Drosophila jambulina"	"djambulina"
8370	"Drosophila kanekoi"	"dkanekoi"
8371	"Drosophila kikkawai"	"dkikkawai"
8372	"Drosophila kitumensis"	"dkitumensis"
8373	"Drosophila kuntzei"	"dkuntzei"
8374	"Drosophila lacicola"	"dlacicola"
8375	"Drosophila lebanonensis"	"dlebanonensis"
8376	"Drosophila lineosetae"	"dlineosetae"
8377	"Drosophila limbata"	"dlimbata"
8378	"Drosophila lini"	"dlini"
8379	"Drosophila lowei"	"dlowei"
8380	"Drosophila littoralis"	"dlittoralis"
8381	"Drosophila lusaltans"	"dlusaltans"
8382	"Drosophila lutescens"	"dlutescens"
8383	"Drosophyllum lusitanicum"	"dlusitanicum"
8384	"Drosophila mauritiana"	"dmauritiana"
8385	"Drosophila microlabis"	"dmicrolabis"
8386	"Drosophila madeirensis"	"dmadeirensis"
8387	"Drosophila melanogaster"	"dmelanogaster"
8388	"Drosophila miranda"	"dmiranda"
8389	"Drosophila milleri"	"dmilleri"
8390	"Drosophila mimica"	"dmimica"
8391	"Drosophila montana"	"dmontana"
8392	"Drosophila mojavensis"	"dmojavensis"
8393	"Drosophila mercatorum"	"dmercatorum"
8394	"Drosophila mediostriata"	"dmediostriata"
8395	"Drosophila mettleri"	"dmettleri"
8396	"Drosophila mulleri"	"dmulleri"
8397	"Drosophila melanica"	"dmelanica"
8398	"Drosophila mayaguana"	"dmayaguana"
8399	"Drosophila navojoa"	"dnavojoa"
8400	"Drosophila neocordata"	"dneocordata"
8401	"Drosophila nebulosa"	"dnebulosa"
8402	"Drosophila nasuta F"	"dnasuta"
8403	"Drosophila nigra"	"dnigra"
8404	"Dromaius novaehollandiae"	"dnovaehollandiae"
8405	"Drosophila narragansett"	"dnarragansett"
8406	"Drosophila nasuta"	"dnasuta"
8407	"Drosophila obscura"	"dobscura"
8408	"Drosophila orena"	"dorena"
8409	"Drosera peltata"	"dpeltata"
8410	"Drosophila pseudoobscura bogotana"	"dpseudoobscura"
8411	"Drosophila pinicola"	"dpinicola"
8412	"Drosophila persimilis"	"dpersimilis"
8413	"Drosophila picticornis"	"dpicticornis"
8414	"Drosophila planitibia"	"dplanitibia"
8415	"Drosophila punjabiensis"	"dpunjabiensis"
8416	"Drosophila petalopeza"	"dpetalopeza"
8417	"Drosophila prosaltans"	"dprosaltans"
8418	"Drosophila pseudoobscura pseudoobscura"	"dpseudoobscura"
8419	"Drosera petiolaris"	"dpetiolaris"
8420	"Drosophila paulistorum"	"dpaulistorum"
8421	"Drosophila pavlovskiana"	"dpavlovskiana"
8422	"Drosera regia"	"dregia"
8423	"Drosophila rhopaloa"	"drhopaloa"
8424	"Drosophila robusta"	"drobusta"
8425	"Drosophila repleta"	"drepleta"
8426	"Drosera rotundifolia"	"drotundifolia"
8427	"Drosophila saltans"	"dsaltans"
8428	"Drosophila subsaltans"	"dsubsaltans"
8429	"Drosophila sucinea"	"dsucinea"
8430	"Drosophila sechellia"	"dsechellia"
8431	"Drosophila simulans"	"dsimulans"
8432	"Drosophila silvestris"	"dsilvestris"
8433	"Drosophila santomea"	"dsantomea"
8434	"Drosophila soonae"	"dsoonae"
8435	"Drosophila sp."	"dsp."
8436	"Drosophila serrata"	"dserrata"
8437	"Drosophila subsilvestris"	"dsubsilvestris"
8438	"Drosophila sturtevanti"	"dsturtevanti"
8439	"Drosophila subobscura"	"dsubobscura"
8440	"Drosophila suzukii"	"dsuzukii"
8441	"Drosophila tanythrix"	"dtanythrix"
8442	"Drosophila teissieri"	"dteissieri"
8443	"Drosophila takahashii"	"dtakahashii"
8444	"Drosophila tolteca"	"dtolteca"
8445	"Drosophila tropicalis"	"dtropicalis"
8446	"Drosophila tristis"	"dtristis"
8447	"Drosophila tsacasi"	"dtsacasi"
8448	"Drosophila varians"	"dvarians"
8449	"Drosophila virilis"	"dvirilis"
8450	"Drosophila vallismaia"	"dvallismaia"
8451	"Drosophila wheeleri"	"dwheeleri"
8452	"Drosophila willistoni"	"dwillistoni"
8453	"Drosophila yakuba"	"dyakuba"
8454	"Dryobalanops aromatica"	"daromatica"
8455	"Dryocoetes autographus"	"dautographus"
8456	"Dryopteris crassirhizoma"	"dcrassirhizoma"
8457	"Dryophytes chrysoscelis"	"dchrysoscelis"
8458	"Drymarchon corais"	"dcorais"
8459	"Drysdalia coronoides"	"dcoronoides"
8460	"Dryopteris cristata"	"dcristata"
8461	"Dryopteris filix-mas"	"dfilix-mas"
8462	"Dryas iulia"	"diulia"
8463	"Dryophytes japonicus"	"djaponicus"
8464	"Dryomys laniger"	"dlaniger"
8465	"Drymarchon melanurus erebennus"	"dmelanurus"
8466	"Dryomys nitedula"	"dnitedula"
8467	"Dryobates nuttallii"	"dnuttallii"
8468	"Dryobates pubescens"	"dpubescens"
8469	"Dryocampa rubicunda"	"drubicunda"
8470	"Dryobates scalaris"	"dscalaris"
8471	"Drymophloeus subdistichus"	"dsubdistichus"
8472	"Diatraea saccharalis densovirus"	"dsaccharalis"
8473	"Duberria lutrix"	"dlutrix"
8474	"Duberria variegata"	"dvariegata"
8475	"Ducula rufigaster"	"drufigaster"
8476	"Dudleya viscida"	"dviscida"
8477	"Dufourea novaeangliae"	"dnovaeangliae"
8478	"Dugbe virus"	"dvirus"
8479	"Dugbe virus"	"dvirus"
8480	"Dugong dugon"	"ddugon"
8481	"Dugesia japonica"	"djaponica"
8482	"Dugesia mexicana"	"dmexicana"
8483	"Dumetella carolinensis"	"dcarolinensis"
8484	"Dumortiera hirsuta"	"dhirsuta"
8485	"Dunaliella acidophila"	"dacidophila"
8486	"Dunaliella bioculata"	"dbioculata"
8487	"Dunckerocampus dactyliophorus"	"ddactyliophorus"
8488	"Dunaliella salina"	"dsalina"
8489	"Dunaliella tertiolecta"	"dtertiolecta"
8490	"Duranta erecta"	"derecta"
8491	"Durio zibethinus"	"dzibethinus"
8492	"Duttaphrynus melanostictus"	"dmelanostictus"
8493	"Duvenhage virus"	"dvirus"
8494	"Drosophila x virus"	"dx"
8495	"Drosophila x virus"	"dx"
8496	"Dyadobacter fermentans"	"dfermentans"
8497	"Dyckia estevesii"	"destevesii"
8498	"Dymasia dymas"	"ddymas"
8499	"Dymecodon pilirostris"	"dpilirostris"
8500	"Dypsis leptocheilos"	"dleptocheilos"
8501	"Dyspteris abortivaria"	"dabortivaria"
8502	"Dysalotus alcocki"	"dalcocki"
8503	"Dystacta alticeps"	"dalticeps"
8504	"Dysstroma citrata"	"dcitrata"
8505	"Dysdera crocata"	"dcrocata"
8506	"Dytiscus dauricus"	"ddauricus"
8507	"Dysschema jansonis"	"djansonis"
8508	"Dyscritothamnus mirandae"	"dmirandae"
8509	"Dyssodia papposa"	"dpapposa"
8510	"Dysstroma truncata"	"dtruncata"
8511	"Dytiscus marginalis"	"dmarginalis"
8512	"Eacles imperialis"	"eimperialis"
8513	"Earina autumnalis"	"eautumnalis"
8514	"Eatonella nivea"	"enivea"
8515	"Equine arteritis virus"	"earteritis"
8516	"Equine arteritis virus"	"earteritis"
8517	"European brown hare syndrome virus"	"ebrown"
8518	"European bat lyssavirus 1"	"ebat"
8519	"European bat lyssavirus 2"	"ebat"
8520	"Zaire ebolavirus"	"zebolavirus"
8521	"Zaire ebolavirus"	"zebolavirus"
8522	"Reston ebolavirus"	"rebolavirus"
8523	"Reston ebolavirus"	"rebolavirus"
8524	"Reston ebolavirus"	"rebolavirus"
8525	"Sudan ebolavirus"	"sebolavirus"
8526	"Sudan ebolavirus"	"sebolavirus"
8527	"Sudan ebolavirus"	"sebolavirus"
8528	"Bundibugyo ebolavirus"	"bebolavirus"
8529	"Zaire ebolavirus"	"zebolavirus"
8530	"Zaire ebolavirus"	"zebolavirus"
8531	"Epstein-Barr virus"	"evirus"
8532	"Epstein-Barr virus"	"evirus"
8533	"Epstein-Barr virus"	"evirus"
8534	"Epstein-Barr virus"	"evirus"
8535	"Epstein-Barr virus"	"evirus"
8536	"Epstein-Barr virus"	"evirus"
8537	"Echovirus 1"	"e1"
8538	"Echovirus 5"	"e5"
8539	"Echovirus 6"	"e6"
8540	"Echovirus 6"	"e6"
8541	"Echovirus 7"	"e7"
8542	"Echovirus 9"	"e9"
8543	"Echovirus 9"	"e9"
8544	"Echovirus 11"	"e11"
8545	"Echovirus 12"	"e12"
8546	"Echovirus 16"	"e16"
8547	"Echovirus 20"	"e20"
8548	"Echovirus 21"	"e21"
8549	"Echovirus 30"	"e30"
8550	"Ecballium elaterium"	"eelaterium"
8551	"Eccremocarpus scaber"	"escaber"
8552	"Echinothrips americanus"	"eamericanus"
8553	"Echiniscus blumi"	"eblumi"
8554	"Echis carinatus"	"ecarinatus"
8555	"Echymipera clara"	"eclara"
8556	"Echinocardium cordatum"	"ecordatum"
8557	"Echinochloa crus-galli"	"ecrus-galli"
8558	"Echimys chrysurus"	"echrysurus"
8559	"Echinothrix calamaris"	"ecalamaris"
8560	"Echis coloratus"	"ecoloratus"
8561	"Echinolampas crassa"	"ecrassa"
8562	"Echis carinatus sochureki"	"ecarinatus"
8563	"Echidna delicatula"	"edelicatula"
8564	"Echinothrix diadema"	"ediadema"
8565	"Echinus esculentus"	"eesculentus"
8566	"Echinops exaltatus"	"eexaltatus"
8567	"Echinochloa frumentacea"	"efrumentacea"
8568	"Echinodorus grandiflorus"	"egrandiflorus"
8569	"Echinopora gemmacea"	"egemmacea"
8570	"Echinococcus granulosus"	"egranulosus"
8571	"Echinosorex gymnura"	"egymnura"
8572	"Echymipera kalubu"	"ekalubu"
8573	"Echis leucogaster"	"eleucogaster"
8574	"Echinocystis lobata"	"elobata"
8575	"Echinometra lucunter"	"elucunter"
8576	"Echinometra mathaei"	"emathaei"
8577	"Echis multisquamatus"	"emultisquamatus"
8578	"Echinococcus multilocularis"	"emultilocularis"
8579	"Echeneis naucrates"	"enaucrates"
8580	"Echo 9 virus"	"e9"
8581	"Echis ocellatus"	"eocellatus"
8582	"Echinococcus oligarthrus"	"eoligarthrus"
8583	"Echinocactus platyacanthus"	"eplatyacanthus"
8584	"Echinacea pallida"	"epallida"
8585	"Echis pyramidum leakeyi"	"epyramidum"
8586	"Echinacea paradoxa"	"eparadoxa"
8587	"Echinacea purpurea"	"epurpurea"
8588	"Echymipera rufescens"	"erufescens"
8589	"Echinaster sentus"	"esentus"
8590	"Echinaster sepositus"	"esepositus"
8591	"Echinops telfairi"	"etelfairi"
8592	"Echiniscus testudo"	"etestudo"
8593	"Echinicola vietnamensis"	"evietnamensis"
8594	"Echium vulgare"	"evulgare"
8595	"Eclipta prostrata"	"eprostrata"
8596	"Eclectus roratus"	"eroratus"
8597	"Ecliptopera silaceata"	"esilaceata"
8598	"Eclysippe vanelli"	"evanelli"
8599	"Escherichia coli O103:H2"	"ecoli"
8600	"Escherichia coli O111:H-"	"ecoli"
8601	"Escherichia coli O104:H4"	"ecoli"
8602	"Escherichia coli O111:H-"	"ecoli"
8603	"Escherichia coli O104:H4"	"ecoli"
8604	"Escherichia coli O104:H4"	"ecoli"
8605	"Escherichia coli O139:H28"	"ecoli"
8606	"Escherichia coli O26:H11"	"ecoli"
8607	"Escherichia coli O127:H6"	"ecoli"
8608	"Escherichia coli O44:H18"	"ecoli"
8609	"Escherichia coli O45:K1"	"ecoli"
8610	"Escherichia coli"	"ecoli"
8611	"Escherichia coli O157:H7"	"ecoli"
8612	"Escherichia coli O157:H7"	"ecoli"
8613	"Escherichia coli O157:H7"	"ecoli"
8614	"Escherichia coli O157:H7"	"ecoli"
8615	"Escherichia coli O7:K1"	"ecoli"
8616	"Escherichia coli O81"	"ecoli"
8617	"Escherichia coli O8"	"ecoli"
8618	"Escherichia coli O83:H1"	"ecoli"
8619	"Escherichia coli OR:K5:H-"	"ecoli"
8620	"Escherichia coli"	"ecoli"
8621	"Escherichia coli"	"ecoli"
8622	"Escherichia coli"	"ecoli"
8623	"Escherichia coli"	"ecoli"
8624	"Escherichia coli"	"ecoli"
8625	"Escherichia coli"	"ecoli"
8626	"Escherichia coli O55:H7"	"ecoli"
8627	"Escherichia coli"	"ecoli"
8628	"Escherichia coli"	"ecoli"
8629	"Escherichia coli O78:H11"	"ecoli"
8630	"Escherichia coli O9:H4"	"ecoli"
8631	"Escherichia coli O1:K1 / APEC"	"ecoli"
8632	"Escherichia coli O18:K1:H7"	"ecoli"
8633	"Escherichia coli"	"ecoli"
8634	"Escherichia coli O6:K15:H31"	"ecoli"
8635	"Escherichia coli O6:H1"	"ecoli"
8636	"Escherichia coli"	"ecoli"
8637	"Escherichia coli"	"ecoli"
8638	"Escherichia coli O17:K52:H18"	"ecoli"
8639	"Escherichia coli"	"ecoli"
8640	"Escherichia coli"	"ecoli"
8641	"Escherichia coli"	"ecoli"
8642	"Escherichia coli"	"ecoli"
8643	"Escherichia coli O150:H5"	"ecoli"
8644	"Escherichia coli"	"ecoli"
8645	"Escherichia coli"	"ecoli"
8646	"Escherichia coli"	"ecoli"
8647	"Escherichia coli"	"ecoli"
8648	"Escherichia coli"	"ecoli"
8649	"Escherichia coli"	"ecoli"
8650	"Escherichia coli"	"ecoli"
8651	"Equus caballus papillomavirus 1"	"ecaballus"
8652	"Equus caballus papillomavirus 1"	"ecaballus"
8653	"Ecsenius bicolor"	"ebicolor"
8654	"Eragrostis curvula streak virus"	"ecurvula"
8655	"Ectophylla alba"	"ealba"
8656	"Ectatomma brunneum"	"ebrunneum"
8657	"Ectyoplasia ferox"	"eferox"
8658	"Ectothiorhodospira mobilis"	"emobilis"
8659	"Ectropis obliqua"	"eobliqua"
8660	"Ectothiorhodospira shaposhnikovii"	"eshaposhnikovii"
8661	"Ectocarpus siliculosus"	"esiliculosus"
8662	"Ectatomma tuberculatum"	"etuberculatum"
8663	"Ectromelia virus"	"evirus"
8664	"Ectocarpus variabilis"	"evariabilis"
8665	"Edhazardia aedis"	"eaedis"
8666	"Edmundsella pedata"	"epedata"
8667	"Edwardsina gigantea"	"egigantea"
8668	"Edwardsiella ictaluri"	"eictaluri"
8669	"Edwardsiella ictaluri"	"eictaluri"
8670	"Edwardsiella tarda"	"etarda"
8671	"Edwardsiella tarda"	"etarda"
8672	"Edwardsiella tarda"	"etarda"
8673	"Eastern equine encephalitis virus"	"eequine"
8674	"Eastern equine encephalitis virus"	"eequine"
8675	"Eastern equine encephalitis virus"	"eequine"
8676	"Eastern equine encephalitis virus"	"eequine"
